estrato,ano,mes,casos,total,populacao,anomalia_mm,dias_20mm,temp_media
cobertura baixa,2014,7,41,1626,248569,18.363999999999997,3.0,16.94967741935484
cobertura baixa,2014,8,34,1517,248569,-35.367,0.6,19.277419354838706
cobertura baixa,2014,9,55,1522,248569,116.071,5.5,21.98933333333333
cobertura baixa,2014,10,53,1453,248569,-141.72933333333333,0.3,24.759354838709676
cobertura baixa,2014,11,32,1453,248569,-2.0096666666666607,1.4,23.563666666666666
cobertura baixa,2014,12,46,1410,248569,-46.48333333333334,1.1,24.591612903225805
cobertura baixa,2015,1,41,1451,249846,-20.839999999999996,0.6,25.790967741935482
cobertura baixa,2015,2,52,1374,249846,-23.148666666666664,0.9,24.603928571428572
cobertura baixa,2015,3,31,1370,249846,-6.583666666666666,0.9,23.79290322580645
cobertura baixa,2015,4,42,1582,249846,-35.398333333333326,0.5,21.862000000000002
cobertura baixa,2015,5,27,1399,249846,-20.522,3.4,19.068387096774195
cobertura baixa,2015,6,25,1435,249846,-39.08033333333333,2.1,18.507666666666665
cobertura baixa,2015,7,27,1491,249846,305.524,7.8,17.283225806451615
cobertura baixa,2015,8,23,1434,249846,-51.037,0.0,21.57774193548387
cobertura baixa,2015,9,39,1467,249846,71.901,4.7,21.973333333333336
cobertura baixa,2015,10,41,1442,249846,-42.069333333333326,2.2,23.756129032258066
cobertura baixa,2015,11,48,1379,249846,190.78033333333332,6.0,23.44533333333333
cobertura baixa,2015,12,42,1352,249846,138.59666666666664,4.5,24.45483870967742
cobertura baixa,2016,1,40,1299,251096,-3.0,2.0,25.552258064516128
cobertura baixa,2016,2,36,1308,251096,104.94133333333335,4.8,25.205862068965516
cobertura baixa,2016,3,46,1332,251096,13.306333333333333,2.4,22.964193548387097
cobertura baixa,2016,4,38,1457,251096,-66.41833333333332,1.4,24.00133333333333
cobertura baixa,2016,5,43,1522,251096,126.15800000000002,5.3,17.020967741935483
cobertura baixa,2016,6,30,1663,251096,-74.87033333333332,0.8,14.302333333333333
cobertura baixa,2016,7,31,1582,251096,-16.306000000000004,1.6,16.93806451612903
cobertura baixa,2016,8,40,1547,251096,117.99300000000001,3.3,18.427419354838708
cobertura baixa,2016,9,49,1579,251096,-97.729,0.8,18.608333333333334
cobertura baixa,2016,10,57,1586,251096,-47.139333333333326,2.3,22.026129032258062
cobertura baixa,2016,11,59,1542,251096,-61.56966666666667,1.2,23.208666666666666
cobertura baixa,2016,12,30,1482,251096,47.29666666666666,3.6,24.20967741935484
cobertura baixa,2017,1,59,1557,252321,-12.56,1.4,24.971290322580646
cobertura baixa,2017,2,47,1427,252321,-27.848666666666666,1.3,25.26535714285714
cobertura baixa,2017,3,33,1515,252321,-7.1636666666666615,1.4,24.037741935483872
cobertura baixa,2017,4,39,1430,252321,-3.118333333333331,2.5,20.990666666666666
cobertura baixa,2017,5,20,1479,252321,65.36800000000001,4.6,20.241612903225807
cobertura baixa,2017,6,18,1466,252321,6.06966666666667,2.7,17.443
cobertura baixa,2017,7,18,1473,252321,-97.716,0.0,17.763548387096773
cobertura baixa,2017,8,22,1466,252321,11.393000000000004,2.1,20.05
cobertura baixa,2017,9,33,1579,252321,-114.179,0.3,24.535666666666664
cobertura baixa,2017,10,22,1543,252321,141.4306666666667,6.2,22.095806451612905
cobertura baixa,2017,11,33,1634,252321,11.110333333333335,2.9,22.361
cobertura baixa,2017,12,27,1498,252321,70.49666666666664,3.5,24.84032258064516
cobertura baixa,2018,1,23,1460,251157,111.53,3.1,24.185161290322583
cobertura baixa,2018,2,25,1453,251157,-25.678666666666665,1.9,23.908214285714287
cobertura baixa,2018,3,26,1572,251157,108.54633333333331,2.6,24.203870967741935
cobertura baixa,2018,4,25,1549,251157,-103.26833333333332,0.1,23.132666666666665
cobertura baixa,2018,5,14,1550,251157,-77.782,0.9,19.703870967741935
cobertura baixa,2018,6,15,1542,251157,-18.510333333333328,1.7,16.457666666666665
cobertura baixa,2018,7,10,1569,251157,-88.686,0.1,18.322258064516127
cobertura baixa,2018,8,13,1530,251157,-2.907,1.7,16.328064516129032
cobertura baixa,2018,9,16,1527,251157,52.63099999999999,4.0,20.177333333333333
cobertura baixa,2018,10,16,1535,251157,122.18066666666668,6.0,22.035161290322584
cobertura baixa,2018,11,38,1640,251157,-22.679666666666662,2.6,23.953666666666667
cobertura baixa,2018,12,39,1453,251157,-71.20333333333335,0.5,25.34193548387097
cobertura baixa,2019,1,59,1538,252358,-51.42999999999999,0.5,26.688709677419354
cobertura baixa,2019,2,53,1541,252358,13.66133333333334,2.5,24.87107142857143
cobertura baixa,2019,3,62,1667,252358,28.87633333333333,2.1,23.66258064516129
cobertura baixa,2019,4,44,1628,252358,27.761666666666667,2.1,22.262999999999998
cobertura baixa,2019,5,24,1668,252358,163.368,4.7,20.22032258064516
cobertura baixa,2019,6,46,1692,252358,-105.37033333333333,0.0,19.59766666666667
cobertura baixa,2019,7,9,1477,252358,-68.476,0.6,16.898387096774194
cobertura baixa,2019,8,14,1497,252358,-72.027,0.0,19.618387096774192
cobertura baixa,2019,9,25,1464,252358,-92.96900000000001,0.5,22.842333333333332
cobertura baixa,2019,10,51,1607,252358,-125.26933333333334,0.4,25.692258064516132
cobertura baixa,2019,11,26,1546,252358,-40.919666666666664,1.1,25.525
cobertura baixa,2019,12,35,1550,252358,111.03666666666666,4.8,24.09548387096774
cobertura baixa,2020,1,42,1630,253541,-8.749999999999998,1.4,24.993548387096773
cobertura baixa,2020,2,41,1732,253541,-22.30866666666666,2.7,25.09758620689655
cobertura baixa,2020,3,33,1794,253541,-86.47366666666667,0.2,25.048387096774192
cobertura baixa,2020,4,22,1367,253541,-66.95833333333333,1.1,20.956
cobertura baixa,2020,5,14,1389,253541,-36.682,1.8,17.6141935483871
cobertura baixa,2020,6,10,1235,253541,5.359666666666669,2.6,19.005000000000003
cobertura baixa,2020,7,14,1381,253541,-64.096,0.4,17.646129032258067
cobertura baixa,2020,8,13,1425,253541,85.963,3.0,19.263548387096773
cobertura baixa,2020,9,16,1509,253541,-130.619,0.0,24.244
cobertura baixa,2020,10,21,1640,253541,-134.62933333333334,0.4,25.44451612903226
cobertura baixa,2020,11,11,1471,253541,-79.17966666666666,0.9,24.912666666666667
cobertura baixa,2020,12,13,1331,253541,60.06666666666665,5.0,24.869999999999997
cobertura baixa,2021,1,9,1338,254680,245.97999999999996,7.3,24.353870967741933
cobertura baixa,2021,2,9,1368,254680,-106.56866666666667,0.1,23.91821428571429
cobertura baixa,2021,3,17,1383,254680,-0.3436666666666639,1.2,24.406129032258065
cobertura baixa,2021,4,18,1414,254680,-104.49833333333333,0.0,21.825
