municipio,ponto_rio,ponto_grupo,iqa,papel,criterio,estacao_codigo,estacao_nome,estacao_rio,estacao_lat,estacao_lon,distancia_km
Sao Paulo,Rio Pinheiros,A Voz dos Rios 3,Pessima,qualidade_agua,mesmo rio,62300600,USP,RIO PINHEIROS,-23.5586,-46.7108,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 3,Pessima,qualidade_agua,mesmo rio,62300610,PEDREIRA,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Rio Pinheiros,A Voz dos Rios 3,Pessima,qualidade_agua,mesmo rio,62300700,RETIRO,RIO PINHEIROS,-23.5322,-46.7492,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,fluviometrica,mesmo municipio,62222500,TAQACETUBA,RESERVATÓRIO BILLINGS (COMP.PEDREIRA),-23.8406,-46.6586,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,fluviometrica,mesmo municipio,62285002,UHE HENRY BORDEN BARRAMENTO BILLINGS,RIO GRANDE OU JURUBATUBA,-23.7031,-46.6739,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,fluviometrica,mesmo municipio,62287000,CAULIM,RIBEIRÃO DO PIRES,-23.7867,-46.7314,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,fluviometrica,mesmo municipio,62290120,GUARAPIRANGA,RIO GUARAPIRANGA,-23.6714,-46.7264,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,fluviometrica,mesmo municipio,62300600,USP,RIO PINHEIROS,-23.5586,-46.7108,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,fluviometrica,mesmo municipio,62300610,PEDREIRA,RIO PINHEIROS,-23.7028,-46.6792,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,fluviometrica,mesmo municipio,62300700,RETIRO,RIO PINHEIROS,-23.5322,-46.7492,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,fluviometrica,mesmo municipio,62365160,SB-CA-BAC Barragem Águas Claras,RESERVATÓRIO ÁGUAS CLARAS,-23.3981,-46.6583,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),RIO CAPIVARI,-23.9225,-46.7289,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62222500,TAQACETUBA,RESERVATÓRIO BILLINGS (COMP.PEDREIRA),-23.8406,-46.6586,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62222700,RESERVATÓRIO BILLINGS (São Paulo),RESERVATÓRIO BILLINGS (COMP.PEDREIRA),-23.7492,-46.6478,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62223100,BRAÇO DO TAQUACETUBA (São Paulo),RIO TIETÊ,-23.8447,-46.6556,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62224100,RIBEIRÃO DOS MENINOS (pte. Av. dos Estados),RIO DOS MENINOS,-23.6,-46.5792,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62224250,PONTE AV. FRANCISCO MESQUITA 1000,RIO TAMANDUATEÍ,-23.5947,-46.5822,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62237000,PONTE PRAÇA DO MONUMENTO (Dom Pedro),CÓRREGO DO IPIRANGA,-23.5781,-46.6089,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62285002,UHE HENRY BORDEN BARRAMENTO BILLINGS,RIO GRANDE OU JURUBATUBA,-23.7031,-46.6739,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62287000,CAULIM,RIBEIRÃO DO PIRES,-23.7867,-46.7314,
Sao Paulo,Riacho Congonhas,Colegio Magno,Regular,qualidade_agua,mesmo municipio,62290010,RES. GUARAPIRANGA (praia ass. func. pub.) ,RIO GUARAPIRANGA,-23.7455555555556,-46.7691666666667,
