ano,mes,grupo,internacoes
2018,11,A00-A09 intestinais,85
2018,11,TODAS AS CAUSAS,7002
2018,12,A00-A09 intestinais,67
2018,12,TODAS AS CAUSAS,6347
2019,1,A00-A09 intestinais,105
2019,1,B65-B83 helmintiases,1
2019,1,TODAS AS CAUSAS,6728
2019,2,A00-A09 intestinais,106
2019,2,B65-B83 helmintiases,1
2019,2,TODAS AS CAUSAS,6721
2019,3,A00-A09 intestinais,113
2019,3,B65-B83 helmintiases,1
2019,3,TODAS AS CAUSAS,6885
2019,4,A00-A09 intestinais,114
2019,4,B65-B83 helmintiases,1
2019,4,TODAS AS CAUSAS,6729
2019,5,A00-A09 intestinais,77
2019,5,TODAS AS CAUSAS,6922
2019,6,A00-A09 intestinais,96
2019,6,TODAS AS CAUSAS,6949
2019,7,A00-A09 intestinais,49
2019,7,TODAS AS CAUSAS,6687
2019,8,A00-A09 intestinais,60
2019,8,B65-B83 helmintiases,1
2019,8,TODAS AS CAUSAS,6744
2019,9,A00-A09 intestinais,62
2019,9,TODAS AS CAUSAS,6799
2019,10,A00-A09 intestinais,93
2019,10,A27 leptospirose,1
2019,10,B65-B83 helmintiases,1
2019,10,TODAS AS CAUSAS,7259
2019,11,A00-A09 intestinais,98
2019,11,B65-B83 helmintiases,1
2019,11,TODAS AS CAUSAS,7169
2019,12,A00-A09 intestinais,75
2019,12,A27 leptospirose,1
2019,12,B65-B83 helmintiases,1
2019,12,TODAS AS CAUSAS,6662
2020,1,A00-A09 intestinais,78
2020,1,B65-B83 helmintiases,1
2020,1,TODAS AS CAUSAS,6728
2020,2,A00-A09 intestinais,87
2020,2,TODAS AS CAUSAS,6891
2020,3,A00-A09 intestinais,72
2020,3,B15 hepatite A,1
2020,3,TODAS AS CAUSAS,6830
2020,4,A00-A09 intestinais,52
2020,4,B65-B83 helmintiases,1
2020,4,TODAS AS CAUSAS,5739
2020,5,A00-A09 intestinais,43
2020,5,A27 leptospirose,1
2020,5,B65-B83 helmintiases,2
2020,5,TODAS AS CAUSAS,5964
2020,6,A00-A09 intestinais,39
2020,6,B65-B83 helmintiases,1
2020,6,TODAS AS CAUSAS,5922
2020,7,A00-A09 intestinais,39
2020,7,B65-B83 helmintiases,1
2020,7,TODAS AS CAUSAS,5828
2020,8,A00-A09 intestinais,43
2020,8,TODAS AS CAUSAS,6008
2020,9,A00-A09 intestinais,38
2020,9,TODAS AS CAUSAS,6629
2020,10,A00-A09 intestinais,42
2020,10,TODAS AS CAUSAS,6562
2020,11,A00-A09 intestinais,38
2020,11,B65-B83 helmintiases,1
2020,11,TODAS AS CAUSAS,6412
2020,12,A00-A09 intestinais,47
2020,12,TODAS AS CAUSAS,6100
2021,1,A00-A09 intestinais,41
2021,1,A27 leptospirose,1
2021,1,B65-B83 helmintiases,1
2021,1,TODAS AS CAUSAS,6062
2021,2,A00-A09 intestinais,33
2021,2,B65-B83 helmintiases,1
2021,2,TODAS AS CAUSAS,6302
2021,3,A00-A09 intestinais,46
2021,3,TODAS AS CAUSAS,6222
2021,4,A00-A09 intestinais,37
2021,4,TODAS AS CAUSAS,6152
2021,5,A00-A09 intestinais,46
2021,5,TODAS AS CAUSAS,6472
2021,6,A00-A09 intestinais,37
2021,6,TODAS AS CAUSAS,6843
2021,7,A00-A09 intestinais,41
2021,7,TODAS AS CAUSAS,7104
2021,8,A00-A09 intestinais,39
2021,8,A27 leptospirose,1
2021,8,TODAS AS CAUSAS,6970
2021,9,A00-A09 intestinais,58
2021,9,TODAS AS CAUSAS,7200
2021,10,A00-A09 intestinais,67
2021,10,TODAS AS CAUSAS,7208
2021,11,A00-A09 intestinais,70
2021,11,TODAS AS CAUSAS,7148
2021,12,A00-A09 intestinais,88
2021,12,B65-B83 helmintiases,1
2021,12,TODAS AS CAUSAS,7110
2022,1,A00-A09 intestinais,57
2022,1,TODAS AS CAUSAS,6901
2022,2,A00-A09 intestinais,46
2022,2,TODAS AS CAUSAS,7015
2022,3,A00-A09 intestinais,48
2022,3,TODAS AS CAUSAS,7372
2022,4,A00-A09 intestinais,59
2022,4,TODAS AS CAUSAS,7355
2022,5,A00-A09 intestinais,53
2022,5,TODAS AS CAUSAS,7582
2022,6,A00-A09 intestinais,43
2022,6,TODAS AS CAUSAS,6813
2022,7,A00-A09 intestinais,40
2022,7,TODAS AS CAUSAS,7533
2022,8,A00-A09 intestinais,42
2022,8,TODAS AS CAUSAS,7871
2022,9,A00-A09 intestinais,53
2022,9,TODAS AS CAUSAS,7576
2022,10,A00-A09 intestinais,51
2022,10,TODAS AS CAUSAS,7602
2022,11,A00-A09 intestinais,67
2022,11,B15 hepatite A,1
2022,11,TODAS AS CAUSAS,7108
2022,12,A00-A09 intestinais,59
2022,12,TODAS AS CAUSAS,7800
2023,1,A00-A09 intestinais,47
2023,1,TODAS AS CAUSAS,7545
2023,2,A00-A09 intestinais,56
2023,2,A27 leptospirose,1
2023,2,B65-B83 helmintiases,1
2023,2,TODAS AS CAUSAS,7531
2023,3,A00-A09 intestinais,70
2023,3,B65-B83 helmintiases,2
2023,3,TODAS AS CAUSAS,7587
2023,4,A00-A09 intestinais,59
2023,4,A27 leptospirose,1
2023,4,TODAS AS CAUSAS,8376
2023,5,A00-A09 intestinais,68
2023,5,TODAS AS CAUSAS,8085
2023,6,A00-A09 intestinais,48
2023,6,TODAS AS CAUSAS,7825
2023,7,A00-A09 intestinais,49
2023,7,A27 leptospirose,1
2023,7,TODAS AS CAUSAS,8141
2023,8,A00-A09 intestinais,48
2023,8,TODAS AS CAUSAS,8671
2023,9,A00-A09 intestinais,52
2023,9,TODAS AS CAUSAS,8967
2023,10,A00-A09 intestinais,45
2023,10,TODAS AS CAUSAS,8077
2023,11,A00-A09 intestinais,61
2023,11,TODAS AS CAUSAS,8574
2023,12,A00-A09 intestinais,79
2023,12,A27 leptospirose,1
2023,12,TODAS AS CAUSAS,8701
2024,1,A00-A09 intestinais,79
2024,1,TODAS AS CAUSAS,9123
2024,2,A00-A09 intestinais,105
2024,2,TODAS AS CAUSAS,9614
2024,3,A00-A09 intestinais,64
2024,3,B15 hepatite A,1
2024,3,TODAS AS CAUSAS,9930
2024,4,A00-A09 intestinais,61
2024,4,TODAS AS CAUSAS,9605
2024,5,A00-A09 intestinais,52
2024,5,B65-B83 helmintiases,2
2024,5,TODAS AS CAUSAS,10375
2024,6,A00-A09 intestinais,49
2024,6,A27 leptospirose,1
2024,6,TODAS AS CAUSAS,9518
2024,7,A00-A09 intestinais,56
2024,7,A27 leptospirose,1
2024,7,TODAS AS CAUSAS,9744
2024,8,A00-A09 intestinais,91
2024,8,A27 leptospirose,1
2024,8,B15 hepatite A,1
2024,8,TODAS AS CAUSAS,10647
2024,9,A00-A09 intestinais,122
2024,9,B65-B83 helmintiases,1
2024,9,TODAS AS CAUSAS,10056
2024,10,A00-A09 intestinais,97
2024,10,TODAS AS CAUSAS,10272
2024,11,A00-A09 intestinais,61
2024,11,A27 leptospirose,1
2024,11,TODAS AS CAUSAS,9671
2024,12,A00-A09 intestinais,56
2024,12,B15 hepatite A,1
2024,12,TODAS AS CAUSAS,9178
2025,1,A00-A09 intestinais,87
2025,1,A27 leptospirose,1
2025,1,TODAS AS CAUSAS,10693
2025,2,A00-A09 intestinais,66
2025,2,TODAS AS CAUSAS,9308
2025,3,A00-A09 intestinais,72
2025,3,TODAS AS CAUSAS,9628
2025,4,A00-A09 intestinais,61
2025,4,A27 leptospirose,1
2025,4,B65-B83 helmintiases,1
2025,4,TODAS AS CAUSAS,9915
2025,5,A00-A09 intestinais,62
2025,5,TODAS AS CAUSAS,10810
2025,6,A00-A09 intestinais,55
2025,6,A27 leptospirose,1
2025,6,TODAS AS CAUSAS,10994
2025,7,A00-A09 intestinais,53
2025,7,B65-B83 helmintiases,1
2025,7,TODAS AS CAUSAS,11439
2025,8,A00-A09 intestinais,46
2025,8,TODAS AS CAUSAS,10694
2025,9,A00-A09 intestinais,66
2025,9,TODAS AS CAUSAS,10916
2025,10,A00-A09 intestinais,61
2025,10,TODAS AS CAUSAS,11286
2025,11,A00-A09 intestinais,69
2025,11,A27 leptospirose,1
2025,11,TODAS AS CAUSAS,11427
2025,12,A00-A09 intestinais,79
2025,12,TODAS AS CAUSAS,10902
2026,1,A00-A09 intestinais,97
2026,1,TODAS AS CAUSAS,10765
2026,2,A00-A09 intestinais,68
2026,2,A27 leptospirose,1
2026,2,TODAS AS CAUSAS,9771
2026,3,A00-A09 intestinais,84
2026,3,A27 leptospirose,1
2026,3,B15 hepatite A,1
2026,3,TODAS AS CAUSAS,10501
2026,4,A00-A09 intestinais,43
2026,4,A27 leptospirose,1
2026,4,TODAS AS CAUSAS,5809
2026,5,A00-A09 intestinais,86
2026,5,A27 leptospirose,1
2026,5,TODAS AS CAUSAS,14713
