cod6,ano,faixa,obitos_a00a09,obitos_mal_definidos,obitos_total
210030,2010,20a59,0,7,31
210030,2010,5a19,1,1,3
210030,2010,60mais,1,28,53
210030,2011,0a4,0,0,11
210030,2011,20a59,0,6,21
210030,2011,5a19,0,1,2
210030,2011,60mais,0,18,38
210030,2012,0a4,0,0,6
210030,2012,20a59,0,9,28
210030,2012,5a19,0,1,5
210030,2012,60mais,0,33,48
210030,2013,0a4,1,2,11
210030,2013,20a59,1,0,33
210030,2013,5a19,0,0,1
210030,2013,60mais,0,14,42
210030,2014,0a4,0,1,17
210030,2014,20a59,0,6,38
210030,2014,5a19,0,1,2
210030,2014,60mais,0,11,52
210030,2015,0a4,0,1,4
210030,2015,20a59,0,6,38
210030,2015,5a19,0,0,5
210030,2015,60mais,0,16,54
210030,2016,0a4,0,0,7
210030,2016,20a59,0,9,47
210030,2016,5a19,0,0,2
210030,2016,60mais,1,23,64
210030,2017,0a4,0,0,7
210030,2017,20a59,0,5,42
210030,2017,5a19,0,0,6
210030,2017,60mais,0,24,55
210030,2018,0a4,0,0,5
210030,2018,20a59,0,5,29
210030,2018,5a19,0,0,4
210030,2018,60mais,0,5,38
210030,2019,0a4,1,1,17
210030,2019,20a59,0,5,32
210030,2019,60mais,0,9,53
210030,2020,0a4,1,0,5
210030,2020,20a59,0,10,40
210030,2020,5a19,0,0,5
210030,2020,60mais,1,22,81
210030,2021,0a4,1,0,7
210030,2021,20a59,0,7,40
210030,2021,5a19,0,0,4
210030,2021,60mais,1,23,87
210030,2022,0a4,0,1,3
210030,2022,20a59,0,5,26
210030,2022,5a19,0,0,3
210030,2022,60mais,1,12,81
210030,2023,0a4,0,0,6
210030,2023,20a59,1,6,43
210030,2023,5a19,0,0,2
210030,2023,60mais,0,6,65
210030,2024,0a4,0,0,10
210030,2024,20a59,0,3,49
210030,2024,5a19,0,0,2
210030,2024,60mais,3,2,72
210040,2008,0a4,1,1,4
210040,2008,20a59,0,3,8
210040,2008,5a19,0,1,1
210040,2008,60mais,0,7,17
210040,2009,0a4,0,1,3
210040,2009,20a59,0,3,13
210040,2009,5a19,0,0,1
210040,2009,60mais,0,5,14
210040,2010,0a4,0,3,3
210040,2010,20a59,0,5,9
210040,2010,5a19,0,0,2
210040,2010,60mais,0,9,17
210040,2011,0a4,0,1,1
210040,2011,20a59,0,3,13
210040,2011,60mais,0,2,8
210040,2012,0a4,0,0,2
210040,2012,20a59,0,1,4
210040,2012,5a19,0,0,1
210040,2012,60mais,0,1,12
210040,2013,20a59,0,1,10
210040,2013,60mais,0,1,17
210040,2014,0a4,0,0,1
210040,2014,20a59,0,0,7
210040,2014,5a19,0,0,1
210040,2014,60mais,0,1,21
210040,2015,0a4,0,0,3
210040,2015,20a59,0,0,8
210040,2015,60mais,0,1,14
210040,2016,0a4,0,0,1
210040,2016,20a59,0,1,10
210040,2016,5a19,0,0,1
210040,2016,60mais,0,2,18
210040,2017,0a4,0,0,3
210040,2017,20a59,0,1,14
210040,2017,60mais,0,1,18
210040,2018,20a59,0,0,8
210040,2018,60mais,0,0,17
210040,2019,0a4,0,0,1
210040,2019,20a59,0,1,16
210040,2019,5a19,0,0,1
210040,2019,60mais,0,0,19
210040,2020,20a59,0,1,12
210040,2020,5a19,0,0,1
210040,2020,60mais,0,1,21
210040,2021,0a4,0,0,1
210040,2021,20a59,0,0,13
210040,2021,60mais,0,1,23
210040,2022,0a4,0,0,1
210040,2022,20a59,0,0,14
210040,2022,5a19,0,0,1
210040,2022,60mais,1,1,24
210040,2023,20a59,0,0,3
210040,2023,60mais,0,2,13
210040,2024,20a59,0,2,6
210040,2024,5a19,0,0,2
210040,2024,60mais,0,2,18
210043,2008,0a4,2,0,7
210043,2008,20a59,0,2,33
210043,2008,5a19,0,1,6
210043,2008,60mais,1,3,37
210043,2009,0a4,0,0,9
210043,2009,20a59,1,0,38
210043,2009,5a19,0,0,4
210043,2009,60mais,0,0,38
210043,2010,0a4,0,1,6
210043,2010,20a59,0,2,38
210043,2010,5a19,0,0,2
210043,2010,60mais,0,1,38
210043,2011,0a4,0,0,10
210043,2011,20a59,0,7,48
210043,2011,5a19,0,0,3
210043,2011,60mais,0,3,51
210043,2012,0a4,0,0,3
210043,2012,20a59,0,10,47
210043,2012,5a19,0,0,3
210043,2012,60mais,0,6,29
210043,2013,0a4,0,0,10
210043,2013,20a59,0,12,52
210043,2013,5a19,0,0,2
210043,2013,60mais,0,18,62
210043,2014,0a4,0,0,14
210043,2014,20a59,0,1,37
210043,2014,5a19,0,0,5
210043,2014,60mais,0,3,70
210043,2015,0a4,1,0,11
210043,2015,20a59,0,1,43
210043,2015,5a19,0,0,5
210043,2015,60mais,0,1,56
210043,2016,0a4,0,0,8
210043,2016,20a59,0,1,54
210043,2016,5a19,0,0,3
210043,2016,60mais,0,1,69
210043,2017,0a4,0,0,7
210043,2017,20a59,0,2,51
210043,2017,5a19,0,0,6
210043,2017,60mais,0,2,81
210043,2018,0a4,0,0,6
210043,2018,20a59,0,2,40
210043,2018,5a19,0,0,3
210043,2018,60mais,2,5,70
210043,2019,0a4,0,0,3
210043,2019,20a59,0,2,42
210043,2019,5a19,0,0,2
210043,2019,60mais,0,4,92
210043,2020,0a4,0,0,8
210043,2020,20a59,0,3,61
210043,2020,5a19,0,0,5
210043,2020,60mais,0,6,91
210043,2021,0a4,0,0,7
210043,2021,20a59,0,0,57
210043,2021,5a19,0,0,3
210043,2021,60mais,0,8,95
210043,2022,0a4,1,0,7
210043,2022,20a59,0,3,61
210043,2022,5a19,0,1,6
210043,2022,60mais,0,12,90
210043,2023,0a4,0,0,7
210043,2023,20a59,0,2,58
210043,2023,5a19,0,0,4
210043,2023,60mais,0,5,78
210043,2024,0a4,0,0,3
210043,2024,20a59,0,4,64
210043,2024,5a19,0,0,12
210043,2024,60mais,0,8,107
210047,2008,0a4,1,0,10
210047,2008,20a59,1,0,23
210047,2008,5a19,0,0,3
210047,2008,60mais,1,1,52
210047,2009,0a4,2,0,9
210047,2009,20a59,1,0,36
210047,2009,5a19,0,1,3
210047,2009,60mais,0,0,51
210047,2010,0a4,1,1,6
210047,2010,20a59,0,2,35
210047,2010,5a19,0,0,7
210047,2010,60mais,0,2,68
210047,2011,0a4,0,0,11
210047,2011,20a59,0,5,39
210047,2011,5a19,0,0,9
210047,2011,60mais,0,2,77
210047,2012,0a4,0,2,10
210047,2012,20a59,0,2,39
210047,2012,5a19,0,0,6
210047,2012,60mais,0,6,71
210047,2013,0a4,2,1,8
210047,2013,20a59,0,2,37
210047,2013,5a19,0,0,4
210047,2013,60mais,0,4,78
210047,2014,0a4,0,1,7
210047,2014,20a59,0,0,48
210047,2014,5a19,0,0,5
210047,2014,60mais,0,1,74
210047,2015,0a4,0,0,11
210047,2015,20a59,0,2,26
210047,2015,5a19,0,1,7
210047,2015,60mais,0,0,85
210047,2016,0a4,0,0,8
210047,2016,20a59,0,6,38
210047,2016,5a19,0,0,6
210047,2016,60mais,0,3,82
210047,2017,0a4,0,1,7
210047,2017,20a59,0,0,34
210047,2017,5a19,0,1,8
210047,2017,60mais,0,4,110
210047,2018,0a4,0,0,6
210047,2018,20a59,0,5,29
210047,2018,5a19,0,0,6
210047,2018,60mais,1,12,108
210047,2019,0a4,0,1,6
210047,2019,20a59,0,1,37
210047,2019,5a19,0,1,3
210047,2019,60mais,0,3,95
210047,2020,0a4,0,0,9
210047,2020,20a59,0,5,41
210047,2020,5a19,0,1,7
210047,2020,60mais,0,3,106
210047,2021,0a4,0,0,9
210047,2021,20a59,0,3,50
210047,2021,5a19,0,0,6
210047,2021,60mais,0,5,112
210047,2022,0a4,0,0,8
210047,2022,20a59,0,4,38
210047,2022,5a19,0,0,5
210047,2022,60mais,0,8,103
210047,2023,0a4,1,0,13
210047,2023,20a59,0,1,32
210047,2023,5a19,0,0,1
210047,2023,60mais,0,1,123
210047,2024,0a4,0,0,4
210047,2024,20a59,0,3,43
210047,2024,5a19,0,0,3
210047,2024,60mais,0,0,98
210050,2008,0a4,0,1,4
210050,2008,20a59,0,2,13
210050,2008,5a19,0,0,1
210050,2008,60mais,0,2,29
210050,2009,0a4,0,0,2
210050,2009,20a59,0,1,8
210050,2009,5a19,0,0,2
210050,2009,60mais,0,0,17
210050,2010,0a4,0,0,4
210050,2010,20a59,0,0,14
210050,2010,5a19,0,0,2
210050,2010,60mais,0,0,22
210050,2011,0a4,0,0,2
210050,2011,20a59,0,0,7
210050,2011,5a19,0,0,3
210050,2011,60mais,0,0,17
210050,2012,0a4,0,0,2
210050,2012,20a59,0,0,8
210050,2012,5a19,0,1,3
210050,2012,60mais,0,0,25
210050,2013,0a4,0,0,1
210050,2013,20a59,0,1,14
210050,2013,60mais,0,1,34
210050,2014,0a4,0,1,2
210050,2014,20a59,0,0,14
210050,2014,5a19,0,0,1
210050,2014,60mais,0,2,24
210050,2015,0a4,0,0,3
210050,2015,20a59,0,2,12
210050,2015,5a19,0,0,1
210050,2015,60mais,0,1,22
210050,2016,0a4,0,0,2
210050,2016,20a59,0,0,10
210050,2016,5a19,0,0,4
210050,2016,60mais,0,3,34
210050,2017,0a4,0,0,4
210050,2017,20a59,0,0,13
210050,2017,5a19,0,0,3
210050,2017,60mais,0,2,39
210050,2018,0a4,0,1,4
210050,2018,20a59,0,2,16
210050,2018,5a19,0,0,4
210050,2018,60mais,0,0,44
210050,2019,0a4,0,1,8
210050,2019,20a59,0,1,18
210050,2019,5a19,0,0,1
210050,2019,60mais,0,1,39
210050,2020,0a4,0,0,5
210050,2020,20a59,0,0,19
210050,2020,5a19,0,0,1
210050,2020,60mais,0,3,42
210050,2021,0a4,0,0,2
210050,2021,20a59,0,0,20
210050,2021,60mais,0,3,48
210050,2022,0a4,0,0,2
210050,2022,20a59,0,2,21
210050,2022,5a19,0,0,3
210050,2022,60mais,0,9,41
210050,2023,0a4,0,0,4
210050,2023,20a59,0,3,17
210050,2023,5a19,0,0,2
210050,2023,60mais,0,8,30
210050,2024,0a4,0,0,4
210050,2024,20a59,0,4,18
210050,2024,5a19,0,0,1
210050,2024,60mais,0,7,40
210055,2008,0a4,0,0,3
210055,2008,20a59,0,2,9
210055,2008,5a19,0,0,2
210055,2008,60mais,0,0,5
210055,2009,0a4,0,0,4
210055,2009,20a59,0,0,10
210055,2009,5a19,0,0,1
210055,2009,60mais,0,1,9
210055,2010,0a4,0,0,1
210055,2010,20a59,0,0,6
210055,2010,5a19,0,0,2
210055,2010,60mais,0,0,9
210055,2011,0a4,0,0,3
210055,2011,20a59,0,0,11
210055,2011,5a19,0,0,1
210055,2011,60mais,0,2,7
210055,2012,20a59,0,0,7
210055,2012,5a19,0,1,3
210055,2012,60mais,0,2,8
210055,2013,0a4,0,0,1
210055,2013,20a59,0,0,5
210055,2013,60mais,0,1,19
210055,2014,0a4,0,0,3
210055,2014,20a59,0,0,9
210055,2014,5a19,0,0,1
210055,2014,60mais,0,0,8
210055,2015,0a4,0,0,1
210055,2015,20a59,0,2,19
210055,2015,5a19,0,0,4
210055,2015,60mais,0,1,17
210055,2016,0a4,0,0,3
210055,2016,20a59,0,0,11
210055,2016,5a19,0,0,2
210055,2016,60mais,0,0,16
210055,2017,20a59,0,0,7
210055,2017,5a19,0,0,1
210055,2017,60mais,0,1,13
210055,2018,0a4,0,0,1
210055,2018,20a59,0,0,5
210055,2018,5a19,0,1,3
210055,2018,60mais,0,2,17
210055,2019,0a4,0,0,1
210055,2019,20a59,0,3,14
210055,2019,5a19,0,0,4
210055,2019,60mais,0,4,14
210055,2020,0a4,0,0,2
210055,2020,20a59,0,0,9
210055,2020,60mais,0,0,11
210055,2021,20a59,0,1,10
210055,2021,60mais,0,2,16
210055,2022,0a4,0,0,2
210055,2022,20a59,0,0,6
210055,2022,5a19,0,0,1
210055,2022,60mais,1,0,24
210055,2023,0a4,0,0,1
210055,2023,20a59,0,1,8
210055,2023,5a19,0,0,1
210055,2023,60mais,0,0,18
210055,2024,0a4,0,0,2
210055,2024,20a59,0,2,9
210055,2024,5a19,0,0,1
210055,2024,60mais,0,2,17
210060,2008,0a4,1,1,24
210060,2008,20a59,0,2,41
210060,2008,5a19,0,0,3
210060,2008,60mais,0,7,55
210060,2009,0a4,3,0,19
210060,2009,20a59,0,3,46
210060,2009,5a19,0,0,4
210060,2009,60mais,0,3,61
210060,2010,0a4,1,1,15
210060,2010,20a59,0,0,49
210060,2010,5a19,0,0,6
210060,2010,60mais,1,3,64
210060,2011,0a4,2,0,23
210060,2011,20a59,1,4,51
210060,2011,5a19,0,1,11
210060,2011,60mais,0,2,85
210060,2012,0a4,0,2,22
210060,2012,20a59,1,2,50
210060,2012,5a19,0,2,11
210060,2012,60mais,0,5,88
210060,2013,0a4,4,1,31
210060,2013,20a59,0,2,51
210060,2013,5a19,0,1,7
210060,2013,60mais,0,9,75
210060,2014,0a4,5,0,25
210060,2014,20a59,0,1,55
210060,2014,5a19,0,1,11
210060,2014,60mais,0,5,79
210060,2015,0a4,0,0,21
210060,2015,20a59,0,0,57
210060,2015,5a19,0,0,7
210060,2015,60mais,0,0,95
210060,2016,0a4,0,0,11
210060,2016,20a59,0,1,59
210060,2016,5a19,0,4,17
210060,2016,60mais,0,2,86
210060,2017,0a4,3,0,20
210060,2017,20a59,0,3,58
210060,2017,5a19,0,0,12
210060,2017,60mais,2,3,104
210060,2018,0a4,0,2,19
210060,2018,20a59,0,0,56
210060,2018,5a19,0,1,5
210060,2018,60mais,0,2,96
210060,2019,0a4,1,1,26
210060,2019,20a59,0,3,59
210060,2019,5a19,0,0,10
210060,2019,60mais,0,6,112
210060,2020,0a4,2,2,17
210060,2020,20a59,0,3,72
210060,2020,5a19,0,0,6
210060,2020,60mais,1,9,152
210060,2021,0a4,1,2,16
210060,2021,20a59,0,7,72
210060,2021,5a19,0,1,7
210060,2021,60mais,0,7,146
210060,2022,0a4,0,0,12
210060,2022,20a59,0,8,61
210060,2022,5a19,0,0,9
210060,2022,60mais,0,4,109
210060,2023,0a4,0,1,21
210060,2023,20a59,1,6,67
210060,2023,5a19,1,0,8
210060,2023,60mais,1,14,119
210060,2024,0a4,3,2,16
210060,2024,20a59,0,5,62
210060,2024,5a19,0,2,11
210060,2024,60mais,0,7,112
210070,2008,0a4,0,0,4
210070,2008,20a59,1,2,16
210070,2008,5a19,0,0,1
210070,2008,60mais,0,3,21
210070,2009,0a4,0,1,6
210070,2009,20a59,0,1,13
210070,2009,60mais,1,2,47
210070,2010,0a4,0,0,3
210070,2010,20a59,0,0,31
210070,2010,5a19,0,1,2
210070,2010,60mais,0,7,55
210070,2011,0a4,0,0,3
210070,2011,20a59,0,4,30
210070,2011,5a19,0,0,4
210070,2011,60mais,0,5,55
210070,2012,0a4,0,1,6
210070,2012,20a59,0,1,23
210070,2012,5a19,0,0,1
210070,2012,60mais,0,2,47
210070,2013,0a4,0,0,2
210070,2013,20a59,0,4,20
210070,2013,5a19,0,0,4
210070,2013,60mais,1,2,52
210070,2014,0a4,0,0,3
210070,2014,20a59,1,2,21
210070,2014,5a19,0,0,2
210070,2014,60mais,0,2,60
210070,2015,0a4,0,0,3
210070,2015,20a59,0,1,29
210070,2015,5a19,0,0,1
210070,2015,60mais,0,1,83
210070,2016,0a4,0,0,6
210070,2016,20a59,0,0,32
210070,2016,5a19,0,0,7
