ano,mes,chuva_mm,normal_mm,anomalia_mm,anomalia_pct,oni,fase
1952,8,68.76857142857143,92.07361904761905,-23.305047619047613,-25.31131920316351,0.0,neutro
1952,9,85.5657142857143,147.04580952380954,-61.480095238095245,-41.810164762390215,0.15,neutro
1952,10,162.98285714285714,193.30371428571428,-30.320857142857136,-15.685605036042464,0.1,neutro
1952,11,65.97428571428571,153.6029523809524,-87.62866666666667,-57.048816646009406,0.04,neutro
1952,12,76.57428571428571,185.4586666666667,-108.88438095238098,-58.71086151400184,0.15,neutro
1953,1,194.77142857142857,165.94780952380952,28.823619047619047,17.36908678115667,0.4,neutro
1953,2,106.84,165.61752380952382,-58.777523809523814,-35.48991825111674,0.6,El Nino fraco
1953,3,123.73142857142858,128.59952380952382,-4.868095238095236,-3.7854691011964037,0.63,El Nino fraco
1953,4,124.0542857142857,123.01209523809524,1.0421904761904557,0.8472260180376985,0.66,El Nino fraco
1953,5,95.06857142857143,149.96038095238094,-54.89180952380951,-36.60420784156323,0.75,El Nino fraco
1953,6,15.431428571428572,131.05228571428572,-115.62085714285715,-88.22498326731098,0.77,El Nino fraco
1953,7,23.442857142857143,105.8864761904762,-82.44361904761905,-77.86038596592216,0.75,El Nino fraco
1953,8,83.35142857142857,92.07361904761905,-8.722190476190477,-9.473061411520595,0.73,El Nino fraco
1953,9,253.1,147.04580952380954,106.05419047619046,72.12323208640518,0.78,El Nino fraco
1953,10,398.72857142857146,193.30371428571428,205.42485714285718,106.27051730585329,0.84,El Nino fraco
1953,11,173.31142857142856,153.6029523809524,19.708476190476176,12.830792562890956,0.84,El Nino fraco
1953,12,104.52,185.4586666666667,-80.93866666666669,-43.642428861058,0.81,El Nino fraco
1954,1,267.0228571428571,165.94780952380952,101.07504761904758,60.907732322038115,0.76,El Nino fraco
1954,2,162.2657142857143,165.61752380952382,-3.3518095238095214,-2.023825406099192,0.47,neutro
1954,3,114.39714285714285,128.59952380952382,-14.202380952380963,-11.043883003343721,-0.05,neutro
1954,4,80.5657142857143,123.01209523809524,-42.44638095238095,-34.50585966381935,-0.41,neutro
1954,5,149.62,149.96038095238094,-0.34038095238094,-0.2269805866184256,-0.54,La Nina fraca
1954,6,166.35714285714286,131.05228571428572,35.304857142857145,26.939520322314106,-0.5,La Nina fraca
1954,7,40.66285714285714,105.8864761904762,-65.22361904761905,-61.59768593138383,-0.64,La Nina fraca
1954,8,82.63428571428571,92.07361904761905,-9.439333333333337,-10.251941251979527,-0.84,La Nina fraca
1954,9,197.29142857142855,147.04580952380954,50.245619047619016,34.17004483863465,-0.9,La Nina fraca
1954,10,210.6542857142857,193.30371428571428,17.350571428571413,8.975808609102176,-0.77,La Nina fraca
1954,11,36.52571428571429,153.6029523809524,-117.0772380952381,-76.22069516272938,-0.73,La Nina fraca
1954,12,266.2257142857143,185.4586666666667,80.76704761904759,43.54989123490998,-0.66,La Nina fraca
1955,1,211.16857142857143,165.94780952380952,45.2207619047619,27.249990243633682,-0.68,La Nina fraca
1955,2,127.66571428571429,165.61752380952382,-37.95180952380953,-22.915334471162474,-0.62,La Nina fraca
1955,3,187.14285714285714,128.59952380952382,58.54333333333332,45.52375592000266,-0.69,La Nina fraca
1955,4,215.77714285714285,123.01209523809524,92.7650476190476,75.41132230899476,-0.8,La Nina fraca
1955,5,102.22,149.96038095238094,-47.740380952380946,-31.835329204412083,-0.79,La Nina fraca
1955,6,184.98000000000002,131.05228571428572,53.9277142857143,41.1497701026635,-0.72,La Nina fraca
1955,7,77.57142857142857,105.8864761904762,-28.315047619047633,-26.740948077365886,-0.68,La Nina fraca
1955,8,167.52285714285713,92.07361904761905,75.44923809523809,81.9444688670453,-0.75,La Nina fraca
1955,9,33.04571428571428,147.04580952380954,-114.00009523809526,-77.52692552563795,-1.09,La Nina moderada
1955,10,184.62,193.30371428571428,-8.683714285714274,-4.492264578464971,-1.42,La Nina moderada
1955,11,44.86571428571428,153.6029523809524,-108.7372380952381,-70.79111202599653,-1.67,La Nina forte
1955,12,288.3542857142857,185.4586666666667,102.89561904761902,55.4816989127599,-1.47,La Nina moderada
1956,1,268.4057142857143,165.94780952380952,102.45790476190476,61.741040786202426,-1.11,La Nina moderada
1956,2,110.06285714285714,165.61752380952382,-55.55466666666668,-33.543954400960565,-0.76,La Nina fraca
1956,3,186.72285714285715,128.59952380952382,58.123333333333335,45.19716062045701,-0.63,La Nina fraca
