ano,mes,grupo,internacoes
2017,4,B15 hepatite A,2
2017,4,B65-B83 helmintiases,6
2017,4,TODAS AS CAUSAS,68189
2017,5,A00-A09 intestinais,902
2017,5,A27 leptospirose,9
2017,5,B15 hepatite A,2
2017,5,B65-B83 helmintiases,3
2017,5,TODAS AS CAUSAS,71252
2017,6,A00-A09 intestinais,811
2017,6,A27 leptospirose,4
2017,6,B15 hepatite A,2
2017,6,B65-B83 helmintiases,1
2017,6,TODAS AS CAUSAS,69466
2017,7,A00-A09 intestinais,749
2017,7,A27 leptospirose,8
2017,7,B15 hepatite A,1
2017,7,B65-B83 helmintiases,3
2017,7,TODAS AS CAUSAS,71404
2017,8,A00-A09 intestinais,645
2017,8,A27 leptospirose,2
2017,8,B15 hepatite A,1
2017,8,B65-B83 helmintiases,3
2017,8,TODAS AS CAUSAS,72562
2017,9,A00-A09 intestinais,926
2017,9,A27 leptospirose,7
2017,9,B15 hepatite A,1
2017,9,B65-B83 helmintiases,4
2017,9,TODAS AS CAUSAS,71438
2017,10,A00-A09 intestinais,998
2017,10,A27 leptospirose,4
2017,10,B15 hepatite A,1
2017,10,B65-B83 helmintiases,5
2017,10,TODAS AS CAUSAS,71810
2017,11,A00-A09 intestinais,1031
2017,11,A27 leptospirose,7
2017,11,B15 hepatite A,1
2017,11,B65-B83 helmintiases,4
2017,11,TODAS AS CAUSAS,71574
2017,12,A00-A09 intestinais,1096
2017,12,A27 leptospirose,6
2017,12,B65-B83 helmintiases,2
2017,12,TODAS AS CAUSAS,70949
2018,1,A00-A09 intestinais,1345
2018,1,A27 leptospirose,12
2018,1,B15 hepatite A,1
2018,1,B65-B83 helmintiases,8
2018,1,TODAS AS CAUSAS,71583
2018,2,A00-A09 intestinais,1186
2018,2,A27 leptospirose,17
2018,2,B65-B83 helmintiases,1
2018,2,TODAS AS CAUSAS,68338
2018,3,A00-A09 intestinais,1130
2018,3,A27 leptospirose,23
2018,3,B15 hepatite A,1
2018,3,B65-B83 helmintiases,5
2018,3,TODAS AS CAUSAS,72211
2018,4,A00-A09 intestinais,994
2018,4,A27 leptospirose,10
2018,4,B15 hepatite A,2
2018,4,B65-B83 helmintiases,2
2018,4,TODAS AS CAUSAS,73612
2018,5,A00-A09 intestinais,802
2018,5,A27 leptospirose,10
2018,5,B65-B83 helmintiases,5
2018,5,TODAS AS CAUSAS,73464
2018,6,A00-A09 intestinais,654
2018,6,A27 leptospirose,6
2018,6,B65-B83 helmintiases,6
2018,6,TODAS AS CAUSAS,73074
2018,7,A00-A09 intestinais,569
2018,7,A27 leptospirose,2
2018,7,B15 hepatite A,2
2018,7,B65-B83 helmintiases,5
2018,7,TODAS AS CAUSAS,74962
2018,8,A00-A09 intestinais,566
2018,8,A27 leptospirose,1
2018,8,B15 hepatite A,2
2018,8,B65-B83 helmintiases,3
2018,8,TODAS AS CAUSAS,74596
2018,9,A00-A09 intestinais,696
2018,9,A27 leptospirose,1
2018,9,B65-B83 helmintiases,6
2018,9,TODAS AS CAUSAS,73920
2018,10,A00-A09 intestinais,830
2018,10,A27 leptospirose,4
2018,10,B65-B83 helmintiases,3
2018,10,TODAS AS CAUSAS,74552
2018,11,A00-A09 intestinais,954
2018,11,A27 leptospirose,10
2018,11,B15 hepatite A,1
2018,11,B65-B83 helmintiases,2
2018,11,TODAS AS CAUSAS,74634
2018,12,A00-A09 intestinais,974
2018,12,A27 leptospirose,12
2018,12,B65-B83 helmintiases,5
2018,12,TODAS AS CAUSAS,69914
2019,1,A00-A09 intestinais,1171
2019,1,A27 leptospirose,21
2019,1,B15 hepatite A,1
2019,1,B65-B83 helmintiases,3
2019,1,TODAS AS CAUSAS,72760
2019,2,A00-A09 intestinais,1084
2019,2,A27 leptospirose,29
2019,2,B65-B83 helmintiases,4
2019,2,TODAS AS CAUSAS,71317
2019,3,A00-A09 intestinais,1059
2019,3,A27 leptospirose,14
2019,3,B15 hepatite A,1
2019,3,B65-B83 helmintiases,4
2019,3,TODAS AS CAUSAS,73170
2019,4,A00-A09 intestinais,1070
2019,4,A27 leptospirose,12
2019,4,B65-B83 helmintiases,3
2019,4,TODAS AS CAUSAS,72797
2019,5,A00-A09 intestinais,811
2019,5,A27 leptospirose,15
2019,5,B65-B83 helmintiases,2
2019,5,TODAS AS CAUSAS,76137
2019,6,A00-A09 intestinais,710
2019,6,A27 leptospirose,8
2019,6,B15 hepatite A,2
2019,6,TODAS AS CAUSAS,73701
2019,7,A00-A09 intestinais,571
2019,7,A27 leptospirose,8
2019,7,B15 hepatite A,2
2019,7,B65-B83 helmintiases,3
2019,7,TODAS AS CAUSAS,75568
2019,8,A00-A09 intestinais,600
2019,8,A27 leptospirose,10
2019,8,B15 hepatite A,4
2019,8,B65-B83 helmintiases,4
2019,8,TODAS AS CAUSAS,74425
2019,9,A00-A09 intestinais,654
2019,9,A27 leptospirose,6
2019,9,B15 hepatite A,1
2019,9,B65-B83 helmintiases,2
2019,9,TODAS AS CAUSAS,75197
2019,10,A00-A09 intestinais,764
2019,10,A27 leptospirose,9
2019,10,B15 hepatite A,1
2019,10,B65-B83 helmintiases,3
2019,10,TODAS AS CAUSAS,75684
2019,11,A00-A09 intestinais,873
2019,11,A27 leptospirose,14
2019,11,B65-B83 helmintiases,2
2019,11,TODAS AS CAUSAS,74707
2019,12,A00-A09 intestinais,830
2019,12,A27 leptospirose,11
2019,12,B65-B83 helmintiases,3
2019,12,TODAS AS CAUSAS,70294
2020,1,A00-A09 intestinais,884
2020,1,A27 leptospirose,16
2020,1,B15 hepatite A,3
2020,1,B65-B83 helmintiases,7
2020,1,TODAS AS CAUSAS,72931
2020,2,A00-A09 intestinais,864
2020,2,A27 leptospirose,21
2020,2,B15 hepatite A,1
2020,2,B65-B83 helmintiases,5
2020,2,TODAS AS CAUSAS,74552
2020,3,A00-A09 intestinais,791
2020,3,A27 leptospirose,12
2020,3,B15 hepatite A,1
2020,3,B65-B83 helmintiases,1
2020,3,TODAS AS CAUSAS,68231
2020,4,A00-A09 intestinais,526
2020,4,A27 leptospirose,12
2020,4,B15 hepatite A,2
2020,4,B65-B83 helmintiases,3
2020,4,TODAS AS CAUSAS,55700
2020,5,A00-A09 intestinais,544
2020,5,A27 leptospirose,9
2020,5,B65-B83 helmintiases,6
2020,5,TODAS AS CAUSAS,60666
2020,6,A00-A09 intestinais,398
2020,6,A27 leptospirose,6
2020,6,B65-B83 helmintiases,2
2020,6,TODAS AS CAUSAS,52675
2020,7,A00-A09 intestinais,393
2020,7,A27 leptospirose,2
2020,7,B65-B83 helmintiases,4
2020,7,TODAS AS CAUSAS,55952
2020,8,A00-A09 intestinais,394
2020,8,A27 leptospirose,3
2020,8,B65-B83 helmintiases,2
2020,8,TODAS AS CAUSAS,58973
2020,9,A00-A09 intestinais,455
2020,9,A27 leptospirose,5
2020,9,B65-B83 helmintiases,1
2020,9,TODAS AS CAUSAS,59455
2020,10,A00-A09 intestinais,524
2020,10,A27 leptospirose,1
2020,10,B65-B83 helmintiases,2
2020,10,TODAS AS CAUSAS,64213
2020,11,A00-A09 intestinais,482
2020,11,A27 leptospirose,8
2020,11,B65-B83 helmintiases,3
2020,11,TODAS AS CAUSAS,63586
2020,12,A00-A09 intestinais,432
2020,12,A27 leptospirose,6
2020,12,B15 hepatite A,1
2020,12,B65-B83 helmintiases,2
2020,12,TODAS AS CAUSAS,57483
2021,1,A00-A09 intestinais,504
2021,1,A27 leptospirose,10
2021,1,B65-B83 helmintiases,3
2021,1,TODAS AS CAUSAS,59378
2021,2,A00-A09 intestinais,475
2021,2,A27 leptospirose,17
2021,2,B65-B83 helmintiases,4
2021,2,TODAS AS CAUSAS,63828
2021,3,A00-A09 intestinais,375
2021,3,A27 leptospirose,9
2021,3,B65-B83 helmintiases,3
2021,3,TODAS AS CAUSAS,61067
2021,4,A00-A09 intestinais,325
2021,4,A27 leptospirose,11
2021,4,B65-B83 helmintiases,4
2021,4,TODAS AS CAUSAS,63903
2021,5,A00-A09 intestinais,274
2021,5,A27 leptospirose,8
2021,5,B65-B83 helmintiases,1
2021,5,TODAS AS CAUSAS,63260
