ano,mes,casos,total,anomalia_mm,oni,fase,dias_20mm,dias_50mm,max_diario_mm,temp_media,t,anomalia_mm_lag0,anomalia_mm_lag1,anomalia_mm_lag2,dias_20mm_lag0,dias_20mm_lag1,dias_20mm_lag2,dias_50mm_lag0,dias_50mm_lag1,dias_50mm_lag2,max_diario_mm_lag0,max_diario_mm_lag1,max_diario_mm_lag2
2011,1,264.0,6973.0,-27.956380952380957,-1.31,La Nina moderada,0.686,0.0,20.126,24.93,36,-27.956380952380957,75.27847619047614,-53.87438095238096,0.686,4.143,1.4,0.0,0.029,0.0,20.126,37.637,25.566
2011,2,256.0,6308.0,121.01676190476192,-1.04,La Nina moderada,3.886,0.2,40.371,24.094,37,121.01676190476192,-27.956380952380957,75.27847619047614,3.886,0.686,4.143,0.2,0.0,0.029,40.371,20.126,37.637
2011,3,278.0,6691.0,-4.59380952380954,-0.8,La Nina fraca,1.914,0.0,33.111,23.538,38,-4.59380952380954,121.01676190476192,-27.956380952380957,1.914,3.886,0.686,0.0,0.2,0.0,33.111,40.371,20.126
2011,4,244.0,7007.0,-25.23209523809524,-0.62,La Nina fraca,0.286,0.0,16.686,21.58,39,-25.23209523809524,-4.59380952380954,121.01676190476192,0.286,1.914,3.886,0.0,0.0,0.2,16.686,33.111,40.371
2011,5,132.0,6517.0,-135.74609523809522,-0.46,neutro,0.0,0.0,7.283,18.031,40,-135.74609523809522,-25.23209523809524,-4.59380952380954,0.0,0.286,1.914,0.0,0.0,0.0,7.283,16.686,33.111
2011,6,101.0,6768.0,-13.600857142857135,-0.37,neutro,2.486,0.0,40.023,16.004,41,-13.600857142857135,-135.74609523809522,-25.23209523809524,2.486,0.0,0.286,0.0,0.0,0.0,40.023,7.283,16.686
2011,7,136.0,7063.0,54.39066666666665,-0.43,neutro,3.514,0.0,39.391,16.932,42,54.39066666666665,-13.600857142857135,-135.74609523809522,3.514,2.486,0.0,0.0,0.0,0.0,39.391,40.023,7.283
2011,8,98.0,6371.0,96.40352380952382,-0.58,La Nina fraca,4.057,0.971,58.854,17.548,43,96.40352380952382,54.39066666666665,-13.600857142857135,4.057,3.514,2.486,0.971,0.0,0.0,58.854,39.391,40.023
2011,9,112.0,6541.0,-26.90866666666668,-0.79,La Nina fraca,2.543,0.543,41.297,19.713,44,-26.90866666666668,96.40352380952382,54.39066666666665,2.543,4.057,3.514,0.543,0.971,0.0,41.297,58.854,39.391
2011,10,128.0,6700.0,20.16485714285713,-0.96,La Nina fraca,4.286,0.629,54.889,22.069,45,20.16485714285713,-26.90866666666668,96.40352380952382,4.286,2.543,4.057,0.629,0.543,0.971,54.889,41.297,58.854
2011,11,172.0,6489.0,6.099904761904753,-1.02,La Nina moderada,3.0,0.771,56.606,22.329,46,6.099904761904753,20.16485714285713,-26.90866666666668,3.0,4.286,2.543,0.771,0.629,0.543,56.606,54.889,41.297
2011,12,233.0,6303.0,-105.43580952380954,-0.92,La Nina fraca,0.657,0.0,22.571,24.118,47,-105.43580952380954,6.099904761904753,20.16485714285713,0.657,3.0,4.286,0.0,0.771,0.629,22.571,56.606,54.889
2012,1,213.0,6892.0,-21.302095238095237,-0.72,La Nina fraca,1.829,0.971,62.443,24.426,48,-21.302095238095237,-105.43580952380954,6.099904761904753,1.829,0.657,3.0,0.971,0.0,0.771,62.443,22.571,56.606
2012,2,207.0,6750.0,-56.431809523809534,-0.57,La Nina fraca,0.971,0.0,22.6,25.833,49,-56.431809523809534,-21.302095238095237,-105.43580952380954,0.971,1.829,0.657,0.0,0.971,0.0,22.6,62.443,22.571
2012,3,213.0,6484.0,-68.90809523809523,-0.46,neutro,0.743,0.0,21.706,23.663,50,-68.90809523809523,-56.431809523809534,-21.302095238095237,0.743,0.971,1.829,0.0,0.0,0.971,21.706,22.6,62.443
2012,4,188.0,6941.0,101.92504761904765,-0.36,neutro,4.543,0.886,66.323,21.383,51,101.92504761904765,-68.90809523809523,-56.431809523809534,4.543,0.743,0.971,0.886,0.0,0.0,66.323,21.706,22.6
2012,5,168.0,7098.0,-29.38895238095237,-0.17,neutro,2.686,0.0,37.74,18.336,52,-29.38895238095237,101.92504761904765,-68.90809523809523,2.686,4.543,0.743,0.0,0.886,0.0,37.74,66.323,21.706
2012,6,182.0,6861.0,69.46485714285714,0.06,neutro,3.257,1.286,61.923,17.007,53,69.46485714285714,-29.38895238095237,101.92504761904765,3.257,2.686,4.543,1.286,0.0,0.886,61.923,37.74,66.323
2012,7,142.0,7064.0,-18.40076190476192,0.3,neutro,0.743,0.0,18.574,16.469,54,-18.40076190476192,69.46485714285714,-29.38895238095237,0.743,3.257,2.686,0.0,1.286,0.0,18.574,61.923,37.74
