estacao,estacao_nome,municipio,rio,sub_bacia,lat,lon,data,consistencia,choveu,od_mgl,od_saturacao_pct,ph,dbo_mgl,dqo_mgl,colif_termotolerantes,colif_fecais,ecoli,n_total_mgl,n_amoniacal_mgl,p_total_mgl,turbidez_ntu,solidos_totais_mgl,temp_amostra_c,condutividade_us_cm,iqa_ana
80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),SÃO PAULO,RIO CAPIVARI,"RIOS ITAPANHAÚ,ITANHAÉM E ....",-23.9225,-46.7289,2022-09-08 13:10:00,1,,6.6,,6.0,,,,,276.0,,0.1,0.01,8.9,100.0,18.8,35.0,
80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),SÃO PAULO,RIO CAPIVARI,"RIOS ITAPANHAÚ,ITANHAÉM E ....",-23.9225,-46.7289,2022-12-01 11:35:00,1,,6.22,,6.2,,,,,1040.0,,0.1,0.03,37.0,100.0,24.2,29.0,
80451000,RES. CAPIVARI-MONOS (est. de recalque Sabesp),SÃO PAULO,RIO CAPIVARI,"RIOS ITAPANHAÚ,ITANHAÉM E ....",-23.9225,-46.7289,2023-03-02 14:15:00,1,,6.02,,6.2,,,,,16.0,,0.1,0.01,6.6,100.0,27.7,30.0,
62294600,RIO EMBU-MIRIM (pte. Boi Mirim - SP-214),SÃO PAULO,RIO EMBU MIRIM,"RIOS PARANÁ,TIETÊ E OUTROS",-23.72,-46.7847,2022-03-09 09:43:00,1,,4.31,,7.0,,,,,40000.0,,,0.26,19.0,162.0,24.3,316.0,
62294600,RIO EMBU-MIRIM (pte. Boi Mirim - SP-214),SÃO PAULO,RIO EMBU MIRIM,"RIOS PARANÁ,TIETÊ E OUTROS",-23.72,-46.7847,2022-06-01 09:48:00,1,,4.37,,6.7,,,,,53000.0,,4.34,0.36,24.0,100.0,16.8,243.0,
62294600,RIO EMBU-MIRIM (pte. Boi Mirim - SP-214),SÃO PAULO,RIO EMBU MIRIM,"RIOS PARANÁ,TIETÊ E OUTROS",-23.72,-46.7847,2022-09-08 09:27:00,1,,3.63,,6.8,,,,,4800.0,,7.11,0.59,8.3,132.0,16.1,266.0,
62294600,RIO EMBU-MIRIM (pte. Boi Mirim - SP-214),SÃO PAULO,RIO EMBU MIRIM,"RIOS PARANÁ,TIETÊ E OUTROS",-23.72,-46.7847,2022-12-01 09:24:00,1,,3.97,,6.8,,,,,16000.0,,0.74,0.14,45.0,146.0,20.1,159.0,
62294600,RIO EMBU-MIRIM (pte. Boi Mirim - SP-214),SÃO PAULO,RIO EMBU MIRIM,"RIOS PARANÁ,TIETÊ E OUTROS",-23.72,-46.7847,2023-03-02 10:01:00,1,,3.93,,7.1,,,,,51000.0,,3.67,0.24,14.0,120.0,23.3,223.0,
62290120,GUARAPIRANGA,SÃO PAULO,RIO GUARAPIRANGA,"RIOS PARANÁ,TIETÊ E OUTROS",-23.6714,-46.7264,2022-03-14 12:19:00,1,,6.8,,6.8,,,,,7.0,,,0.06,3.9,100.0,26.4,137.0,
62290120,GUARAPIRANGA,SÃO PAULO,RIO GUARAPIRANGA,"RIOS PARANÁ,TIETÊ E OUTROS",-23.6714,-46.7264,2022-06-20 10:25:00,1,,7.75,,7.0,,,,,16.0,,1.13,0.13,5.0,100.0,17.6,141.0,
62290120,GUARAPIRANGA,SÃO PAULO,RIO GUARAPIRANGA,"RIOS PARANÁ,TIETÊ E OUTROS",-23.6714,-46.7264,2022-09-19 11:03:00,1,,7.79,,6.7,,,,,30.0,,0.1,0.15,8.8,106.0,18.1,161.0,
62290120,GUARAPIRANGA,SÃO PAULO,RIO GUARAPIRANGA,"RIOS PARANÁ,TIETÊ E OUTROS",-23.6714,-46.7264,2022-12-05 10:09:00,1,,4.17,,6.6,,,,,620.0,,0.2,0.08,5.0,100.0,23.7,153.0,
